period,name,county,subcounty,ward,Teen pregnancy (10 to 19 years),Teen pregnancy (10 to 14 years),Teen pregnancy (15 to 19 years)
2020Q1,Jan to Mar 2020,Garissa County,Dadaab Sub County,Abakaile Ward,4,0,4
2020Q1,Jan to Mar 2020,Meru County,Imenti South Sub County,Abogeta East Ward,161,1,160
2020Q1,Jan to Mar 2020,Meru County,Imenti South Sub County,Abogeta West Ward,20,3,17
2020Q1,Jan to Mar 2020,Meru County,Imenti Central Sub County,Abothuguchi Central Ward,29,1,28
2020Q1,Jan to Mar 2020,Meru County,Imenti Central Sub County,Abothuguchi West Ward,34,1,33
2020Q1,Jan to Mar 2020,Wajir County,Wajir West Sub County,Ademasajide Ward,12,0,12
2020Q1,Jan to Mar 2020,Kilifi County,Magarini Sub County,Adu Ward,136,8,128
2020Q1,Jan to Mar 2020,Busia County,Samia Sub County,Ageng'a Nanguba Ward,78,3,75
2020Q1,Jan to Mar 2020,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,11,0,11
2020Q1,Jan to Mar 2020,Kisumu County,Nyando Sub County,Ahero Ward,59,3,56
2020Q1,Jan to Mar 2020,Uasin Gishu County,Ainabkoi Sub County,Ainabkoi/Olare Ward,73,0,73
2020Q1,Jan to Mar 2020,Kericho County,Ainamoi Sub County,Ainamoi Ward,105,11,94
2020Q1,Jan to Mar 2020,Nairobi County,Kamukunji Sub County,Airbase Ward,190,53,137
2020Q1,Jan to Mar 2020,Mombasa County,Changamwe Sub County,Airport Ward,59,0,59
2020Q1,Jan to Mar 2020,Meru County,Igembe South Sub County,Akachiu Ward,109,1,108
2020Q1,Jan to Mar 2020,Meru County,Igembe Central Sub County,Akirang'ondu Ward,113,0,113
2020Q1,Jan to Mar 2020,Meru County,Tigania West Sub County,Akithii Ward,22,3,19
2020Q1,Jan to Mar 2020,West Pokot County,Pokot North Sub County,Alale Ward,71,1,70
2020Q1,Jan to Mar 2020,Mandera County,Lafey Sub County,Alungo Gof Ward,0,0,0
2020Q1,Jan to Mar 2020,Nakuru County,Kuresoi South Sub County,Amalo Ward,60,1,59
2020Q1,Jan to Mar 2020,Busia County,Teso South Sub County,Amukura Central Ward,18,0,18
2020Q1,Jan to Mar 2020,Busia County,Teso South Sub County,Amukura East Ward,41,0,41
2020Q1,Jan to Mar 2020,Busia County,Teso South Sub County,Amukura West Ward,37,0,37
2020Q1,Jan to Mar 2020,Meru County,Igembe North Sub County,Amwathi Ward,279,3,276
2020Q1,Jan to Mar 2020,Busia County,Teso South Sub County,Ang'orom Ward,58,0,58
2020Q1,Jan to Mar 2020,Busia County,Teso North Sub County,Ang'urai East Ward,63,2,61
2020Q1,Jan to Mar 2020,Busia County,Teso North Sub County,Ang'urai North Ward,41,0,41
2020Q1,Jan to Mar 2020,Busia County,Teso North Sub County,Ang'urai South Ward,26,0,26
2020Q1,Jan to Mar 2020,Narok County,Transmara West Sub County,Angata Barikoi Ward,45,5,40
2020Q1,Jan to Mar 2020,Samburu County,Samburu Central Sub County,Angata Nayokie Ward,38,0,38
2020Q1,Jan to Mar 2020,Meru County,Igembe North Sub County,Antuambui Ward,2,0,2
2020Q1,Jan to Mar 2020,Meru County,Igembe North Sub County,Antubetwe Kiongo Ward,22,0,22
2020Q1,Jan to Mar 2020,Mandera County,Mandera East Sub County,Arabia Ward,30,1,29
2020Q1,Jan to Mar 2020,Wajir County,Wajir West Sub County,Arbajahan Ward,73,0,73
2020Q1,Jan to Mar 2020,Elgeyo Marakwet County,Marakwet West Sub County,Arror Ward,10,0,10
2020Q1,Jan to Mar 2020,Mandera County,Mandera North Sub County,Ashabito Ward,0,0,0
2020Q1,Jan to Mar 2020,Machakos County,Athi River Sub County,Athi River Ward,138,0,138
2020Q1,Jan to Mar 2020,Kitui County,Kitui South Sub County,Athi Ward,44,0,44
2020Q1,Jan to Mar 2020,Meru County,Igembe South Sub County,Athiru Gaiti Ward,119,3,116
2020Q1,Jan to Mar 2020,Meru County,Igembe Central Sub County,Athiru Ruujine Ward,119,2,117
2020Q1,Jan to Mar 2020,Meru County,Tigania West Sub County,Athwana Ward,0,0,0
2020Q1,Jan to Mar 2020,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,45,4,41
2020Q1,Jan to Mar 2020,Samburu County,Samburu Central Sub County,Baawa Ward,69,33,36
2020Q1,Jan to Mar 2020,Nairobi County,Ruaraka Sub County,Babandogo Ward,101,11,90
2020Q1,Jan to Mar 2020,Lamu County,Lamu West Sub County,Bahari Ward,119,0,119
2020Q1,Jan to Mar 2020,Nakuru County,Nakuru North Sub County,Bahati Ward,74,0,74
2020Q1,Jan to Mar 2020,Garissa County,Balambala Sub County,Balambala Ward,41,1,40
2020Q1,Jan to Mar 2020,Kilifi County,Ganze Sub County,Bamba Ward,53,1,52
2020Q1,Jan to Mar 2020,Mombasa County,Kisauni Sub County,Bamburi Ward,0,0,0
2020Q1,Jan to Mar 2020,Tana River County,Bura Sub County,Bangale Ward,63,0,63
2020Q1,Jan to Mar 2020,Mandera County,Banissa Sub County,Banissa Ward,9,0,9
2020Q1,Jan to Mar 2020,Vihiga County,Hamisi Sub County,Banja Ward,1,0,1
2020Q1,Jan to Mar 2020,Kirinyaga County,Kirinyaga East Sub County,Baragwi Ward,33,0,33
2020Q1,Jan to Mar 2020,Garissa County,Lagdera Sub County,Baraki Ward,0,0,0
2020Q1,Jan to Mar 2020,Baringo County,Baringo North Sub County,Bartabwa Ward,26,1,25
2020Q1,Jan to Mar 2020,Nakuru County,Nakuru West Sub County,Barut Ward,12,0,12
2020Q1,Jan to Mar 2020,Wajir County,Wajir East Sub County,Barwago Ward,0,0,0
2020Q1,Jan to Mar 2020,Baringo County,Baringo North Sub County,Barwessa Ward,72,2,70
2020Q1,Jan to Mar 2020,Kisii County,Bobasi Sub County,Basi Central Ward,45,0,45
2020Q1,Jan to Mar 2020,Kisii County,Bobasi Sub County,Bassi Bogetaorio Ward,32,0,32
2020Q1,Jan to Mar 2020,Wajir County,Wajir North Sub County,Batalu Ward,12,0,12
2020Q1,Jan to Mar 2020,West Pokot County,Pokot South Sub County,Batei Ward,174,2,172
2020Q1,Jan to Mar 2020,Garissa County,Lagdera Sub County,Benane Ward,8,0,8
2020Q1,Jan to Mar 2020,Wajir County,Wajir South Sub County,Benane Ward,33,1,32
2020Q1,Jan to Mar 2020,Nakuru County,Nakuru East Sub County,Biashara Ward,258,153,105
2020Q1,Jan to Mar 2020,Nakuru County,Naivasha Sub County,Biashara Ward,7,0,7
2020Q1,Jan to Mar 2020,Kiambu County,Ruiru Sub County,Biashara Ward,124,2,122
2020Q1,Jan to Mar 2020,Kiambu County,Limuru Sub County,Bibirioni Ward,2,0,2
2020Q1,Jan to Mar 2020,Trans Nzoia County,Kwanza Sub County,Bidii Ward,15,0,15
2020Q1,Jan to Mar 2020,Kisii County,Nyaribari Chache Sub County,Birongo Ward,19,0,19
2020Q1,Jan to Mar 2020,Kisii County,Nyaribari Chache Sub County,Bobaracho Ward,15,1,14
2020Q1,Jan to Mar 2020,Kisii County,Bobasi Sub County,Bobasi Chache Ward,25,0,25
2020Q1,Jan to Mar 2020,Kisii County,Bobasi Sub County,Bobasi/Boitangare Ward,18,1,17
2020Q1,Jan to Mar 2020,Mombasa County,Likoni Sub County,Bofu Ward,2,0,2
2020Q1,Jan to Mar 2020,Kisii County,Kitutu Chache South Sub County,Bogeka Ward,37,1,36
2020Q1,Jan to Mar 2020,Kisii County,South Mugirango Sub County,Bogetenga Ward,133,61,72
2020Q1,Jan to Mar 2020,Kisii County,Bonchari Sub County,Bogiakumu Ward,50,0,50
2020Q1,Jan to Mar 2020,Nyamira County,Nyamira Sub County,Bogichora Ward,125,3,122
2020Q1,Jan to Mar 2020,Kisii County,Kitutu Chache South Sub County,Bogusero Ward,47,1,46
2020Q1,Jan to Mar 2020,Kisii County,South Mugirango Sub County,Boikanga Ward,15,1,14
2020Q1,Jan to Mar 2020,Bomet County,Konoin Sub County,Boito Ward,45,1,44
2020Q1,Jan to Mar 2020,Nyamira County,Nyamira North Sub County,Bokeira Ward,80,5,75
2020Q1,Jan to Mar 2020,Kisii County,Bomachoge Borabu Sub County,Bokimonge Ward,144,6,138
2020Q1,Jan to Mar 2020,Bungoma County,Webuye West Sub County,Bokoli Ward,75,3,72
2020Q1,Jan to Mar 2020,Taita Taveta County,Taveta Sub County,Bomani Ward,18,0,18
2020Q1,Jan to Mar 2020,Kisii County,Bonchari Sub County,Bomariba Ward,30,0,30
2020Q1,Jan to Mar 2020,Kisii County,Bomachoge Borabu Sub County,Bombaba Borabu Ward,4,0,4
2020Q1,Jan to Mar 2020,Kisii County,Bonchari Sub County,Bomorenda Ward,90,0,90
2020Q1,Jan to Mar 2020,Nyamira County,Nyamira North Sub County,Bomwagamo Ward,47,3,44
2020Q1,Jan to Mar 2020,Nyamira County,Nyamira Sub County,Bonyamatuta Ward,103,72,31
2020Q1,Jan to Mar 2020,Kisii County,Bomachoge Borabu Sub County,Boochi Borabu Ward,60,2,58
2020Q1,Jan to Mar 2020,Kisii County,Bomachoge Chache Sub County,Boochi/Tendere Ward,134,5,129
2020Q1,Jan to Mar 2020,Kisii County,South Mugirango Sub County,Borabu/Chitago Ward,130,55,75
2020Q1,Jan to Mar 2020,Nyamira County,Nyamira Sub County,Bosamaro Ward,106,2,104
2020Q1,Jan to Mar 2020,Kisii County,Bomachoge Chache Sub County,Bosoti/Sengera Ward,73,1,72
2020Q1,Jan to Mar 2020,Bungoma County,Kanduyi Sub County,Bukembe East Ward,60,0,60
2020Q1,Jan to Mar 2020,Bungoma County,Kanduyi Sub County,Bukembe West Ward,20,0,20
2020Q1,Jan to Mar 2020,Busia County,Nambale Sub County,Bukhayo Central Ward,26,0,26
2020Q1,Jan to Mar 2020,Busia County,Nambale Sub County,Bukhayo East Ward,53,0,53
2020Q1,Jan to Mar 2020,Busia County,Nambale Sub County,Bukhayo North/Walatsi Ward,68,0,68
2020Q1,Jan to Mar 2020,Busia County,Matayos Sub County,Bukhayo West Ward,55,0,55
2020Q1,Jan to Mar 2020,Migori County,Kuria West Sub County,Bukira Central/Ikerege Ward,27,1,26
2020Q1,Jan to Mar 2020,Migori County,Kuria West Sub County,Bukira East Ward,63,1,62
2020Q1,Jan to Mar 2020,Isiolo County,Isiolo Sub County,Bulla Pesa Ward,30,1,29
2020Q1,Jan to Mar 2020,Bungoma County,Bumula Sub County,Bumula Ward,76,3,73
2020Q1,Jan to Mar 2020,Busia County,Bunyala Sub County,Bunyala Central Ward,22,0,22
2020Q1,Jan to Mar 2020,Kakamega County,Navakholo Sub County,Bunyala Central Ward,42,1,41
2020Q1,Jan to Mar 2020,Kakamega County,Navakholo Sub County,Bunyala East Ward,35,0,35
2020Q1,Jan to Mar 2020,Busia County,Bunyala Sub County,Bunyala North Ward,22,2,20
2020Q1,Jan to Mar 2020,Busia County,Bunyala Sub County,Bunyala South Ward,35,0,35
2020Q1,Jan to Mar 2020,Busia County,Bunyala Sub County,Bunyala West Ward,33,2,31
2020Q1,Jan to Mar 2020,Kakamega County,Navakholo Sub County,Bunyala West Ward,96,0,96
2020Q1,Jan to Mar 2020,Garissa County,Fafi Sub County,Bura Ward,19,1,18
2020Q1,Jan to Mar 2020,Tana River County,Bura Sub County,Bura Ward,136,2,134
2020Q1,Jan to Mar 2020,Taita Taveta County,Mwatate Sub County,Bura(Mwatate) Ward,22,0,22
2020Q1,Jan to Mar 2020,Isiolo County,Isiolo Sub County,Burat Ward,116,0,116
2020Q1,Jan to Mar 2020,Wajir County,Wajir South Sub County,Burder Ward,0,0,0
2020Q1,Jan to Mar 2020,Busia County,Matayos Sub County,Burumba Ward,148,2,146
2020Q1,Jan to Mar 2020,Vihiga County,Sabatia Sub County,Busali Ward,69,0,69
2020Q1,Jan to Mar 2020,Busia County,Matayos Sub County,Busibwabo Ward,17,1,16
2020Q1,Jan to Mar 2020,Kakamega County,Malava Sub County,Butali/Chegulo Ward,13,0,13
2020Q1,Jan to Mar 2020,Wajir County,Wajir North Sub County,Bute Ward,57,0,57
2020Q1,Jan to Mar 2020,Marsabit County,Moyale Sub County,Butiye Ward,21,0,21
2020Q1,Jan to Mar 2020,Kakamega County,Lurambi Sub County,Butsotso Central Ward,18,3,15
2020Q1,Jan to Mar 2020,Kakamega County,Lurambi Sub County,Butsotso East Ward,22,0,22
2020Q1,Jan to Mar 2020,Kakamega County,Lurambi Sub County,Butsotso South Ward,80,1,79
2020Q1,Jan to Mar 2020,Bungoma County,Kabuchai Sub County,Bwake/Luuya Ward,21,0,21
2020Q1,Jan to Mar 2020,Busia County,Samia Sub County,Bwiri Ward,13,0,13
2020Q1,Jan to Mar 2020,Nairobi County,Kamukunji Sub County,California Ward,68,0,68
2020Q1,Jan to Mar 2020,Siaya County,Alego Usonga Sub County,Central Alego Ward,101,1,100
2020Q1,Jan to Mar 2020,Vihiga County,Emuhaya Sub County,Central Bunyore Ward,49,2,47
2020Q1,Jan to Mar 2020,Siaya County,Gem Sub County,Central Gem Ward,28,0,28
2020Q1,Jan to Mar 2020,Migori County,Rongo Sub County,Central Kamagambo Ward,185,8,177
2020Q1,Jan to Mar 2020,Migori County,Uriri Sub County,Central Kanyamkago Ward,44,2,42
2020Q1,Jan to Mar 2020,Homa Bay County,Rachuonyo South Sub County,Central Kasipul Ward,44,3,41
2020Q1,Jan to Mar 2020,Kisumu County,Kisumu West Sub County,Central Kisumu Ward,54,2,52
2020Q1,Jan to Mar 2020,Vihiga County,Vihiga Sub County,Central Maragoli Ward,61,2,59
2020Q1,Jan to Mar 2020,Kisumu County,Nyakach Sub County,Central Nyakach Ward,66,2,64
2020Q1,Jan to Mar 2020,Siaya County,Bondo Sub County,Central Sakwa Ward,73,0,73
2020Q1,Jan to Mar 2020,Migori County,Awendo Sub County,Central Sakwa Ward,71,4,67
2020Q1,Jan to Mar 2020,Kisumu County,Seme Sub County,Central Seme Ward,104,1,103
2020Q1,Jan to Mar 2020,Nyandarua County,Ndaragwa Sub County,Central Ward,64,0,64
2020Q1,Jan to Mar 2020,Embu County,Runyenjes Sub County,Central Ward,45,3,42
2020Q1,Jan to Mar 2020,Kitui County,Mwingi Central Sub County,Central Ward,67,1,66
2020Q1,Jan to Mar 2020,Homa Bay County,Karachuonyo Sub County,Central Ward,47,2,45
2020Q1,Jan to Mar 2020,Mombasa County,Changamwe Sub County,Chaani Ward,13,0,13
2020Q1,Jan to Mar 2020,Kericho County,Belgut Sub County,Chaik Ward,1,0,1
2020Q1,Jan to Mar 2020,Busia County,Teso South Sub County,Chakol North Ward,10,0,10
2020Q1,Jan to Mar 2020,Busia County,Teso South Sub County,Chakol South Ward,38,1,37
2020Q1,Jan to Mar 2020,Taita Taveta County,Taveta Sub County,Chala Ward,107,2,105
2020Q1,Jan to Mar 2020,Mombasa County,Changamwe Sub County,Changamwe Ward,13,0,13
2020Q1,Jan to Mar 2020,Kiambu County,Gatundu North Sub County,Chania Ward,4,0,4
2020Q1,Jan to Mar 2020,Nyandarua County,Oljoroorok Sub County,Charagita Ward,8,0,8
2020Q1,Jan to Mar 2020,Isiolo County,Merti Sub County,Chari Ward,7,0,7
2020Q1,Jan to Mar 2020,Kilifi County,Kilifi South Sub County,Chasimba Ward,50,0,50
2020Q1,Jan to Mar 2020,Vihiga County,Sabatia Sub County,Chavakali Ward,6,2,4
2020Q1,Jan to Mar 2020,Taita Taveta County,Mwatate Sub County,Chawia Ward,44,0,44
2020Q1,Jan to Mar 2020,Kericho County,Bureti Sub County,Cheboin Ward,83,3,80
2020Q1,Jan to Mar 2020,Bomet County,Chepalungu Sub County,Chebunyo Ward,49,0,49
2020Q1,Jan to Mar 2020,Kakamega County,Lugari Sub County,Chekalini Ward,66,1,65
2020Q1,Jan to Mar 2020,Bomet County,Sotik Sub County,Chemagel Ward,143,0,143
2020Q1,Jan to Mar 2020,Bomet County,Bomet East Sub County,Chemaner Ward,94,0,94
2020Q1,Jan to Mar 2020,Kisumu County,Muhoroni Sub County,Chemelil Ward,43,1,42
2020Q1,Jan to Mar 2020,Nandi County,Tinderet Sub County,Chemelil/Chemase Ward,52,0,52
2020Q1,Jan to Mar 2020,Kericho County,Bureti Sub County,Chemosot Ward,56,0,56
2020Q1,Jan to Mar 2020,Kakamega County,Malava Sub County,Chemuche Ward,36,0,36
2020Q1,Jan to Mar 2020,Nandi County,Chesumei Sub County,Chemundu/Kapng'etunyi Ward,26,0,26
2020Q1,Jan to Mar 2020,Kwale County,Kinango Sub County,Chengoni/Samburu Ward,91,0,91
2020Q1,Jan to Mar 2020,West Pokot County,Pokot South Sub County,Chepareria Ward,160,0,160
2020Q1,Jan to Mar 2020,Bomet County,Konoin Sub County,Chepchabas Ward,21,3,18
2020Q1,Jan to Mar 2020,Trans Nzoia County,Endebess Sub County,Chepchoina Ward,174,0,174
2020Q1,Jan to Mar 2020,Elgeyo Marakwet County,Keiyo South Sub County,Chepkorio Ward,76,1,75
2020Q1,Jan to Mar 2020,Nandi County,Emgwen Sub County,Chepkumia Ward,49,1,48
2020Q1,Jan to Mar 2020,Nandi County,Nandi Hills Sub County,Chepkunyuk Ward,33,10,23
2020Q1,Jan to Mar 2020,Kericho County,Bureti Sub County,Cheplanget Ward,63,3,60
2020Q1,Jan to Mar 2020,Kericho County,Kipkelion East Sub County,Chepseon Ward,42,0,42
2020Q1,Jan to Mar 2020,Trans Nzoia County,Cherangany Sub County,Chepsiro/Kiptoror Ward,64,1,63
2020Q1,Jan to Mar 2020,Bungoma County,Cheptais Sub County,Cheptais Ward,134,4,130
2020Q1,Jan to Mar 2020,Nandi County,Mosop Sub County,Chepterwai Ward,50,1,49
2020Q1,Jan to Mar 2020,Uasin Gishu County,Kesses Sub County,Cheptiret/Kipchamo Ward,48,0,48
2020Q1,Jan to Mar 2020,Kericho County,Belgut Sub County,Cheptororiet/Seretut Ward,15,0,15
2020Q1,Jan to Mar 2020,Bungoma County,Cheptais Sub County,Chepyuk Ward,106,2,104
2020Q1,Jan to Mar 2020,Isiolo County,Merti Sub County,Cherab Ward,83,1,82
2020Q1,Jan to Mar 2020,Elgeyo Marakwet County,Marakwet West Sub County,Cherang'any/Chebororwa Ward,53,2,51
2020Q1,Jan to Mar 2020,Trans Nzoia County,Cherangany Sub County,Cherangany/Suwerwa Ward,130,2,128
2020Q1,Jan to Mar 2020,Bungoma County,Cheptais Sub County,Chesikaki Ward,135,2,133
2020Q1,Jan to Mar 2020,Bomet County,Bomet Central Sub County,Chesoen Ward,152,1,151
2020Q1,Jan to Mar 2020,Kakamega County,Lugari Sub County,Chevaywa Ward,98,1,97
2020Q1,Jan to Mar 2020,Tana River County,Galole Sub County,Chewani Ward,352,96,256
2020Q1,Jan to Mar 2020,Tana River County,Bura Sub County,Chewele Ward,26,1,25
2020Q1,Jan to Mar 2020,Tharaka Nithi County,Tharaka South Sub County,Chiakagira Ward,66,25,41
2020Q1,Jan to Mar 2020,Kericho County,Kipkelion West Sub County,Chilchila Ward,167,33,134
2020Q1,Jan to Mar 2020,Nyeri County,Nyeri South Sub County,Chinga Ward,28,0,28
2020Q1,Jan to Mar 2020,Tharaka Nithi County,Mwimbi Sub County,Chogoria Ward,60,5,55
2020Q1,Jan to Mar 2020,Kitui County,Kitui East Sub County,Chuluni Ward,12,0,12
2020Q1,Jan to Mar 2020,Baringo County,Tiaty East Sub County,Churo/Amaya Ward,79,0,79
2020Q1,Jan to Mar 2020,Kiambu County,Kiambaa Sub County,Cianda Ward,24,0,24
2020Q1,Jan to Mar 2020,Nairobi County,Kasarani Sub County,Clay City Ward,15,0,15
2020Q1,Jan to Mar 2020,Kilifi County,Kilifi North Sub County,Dabaso Ward,42,1,41
2020Q1,Jan to Mar 2020,Garissa County,Dadaab Sub County,Dadaab Ward,10,0,10
2020Q1,Jan to Mar 2020,Wajir County,Wajir South Sub County,Dadaja Bulla Ward,22,0,22
2020Q1,Jan to Mar 2020,Kajiado County,Kajiado Central Sub County,Dalalekutuk Ward,101,8,93
2020Q1,Jan to Mar 2020,Garissa County,Dadaab Sub County,Damajale Ward,1,0,1
2020Q1,Jan to Mar 2020,Wajir County,Wajir North Sub County,Danaba Ward,7,0,7
2020Q1,Jan to Mar 2020,Nairobi County,Embakasi North Sub County,Dandora Area I Ward,112,0,112
2020Q1,Jan to Mar 2020,Nairobi County,Embakasi North Sub County,Dandora Area II Ward,2,0,2
2020Q1,Jan to Mar 2020,Nairobi County,Embakasi North Sub County,Dandora Area III Ward,134,1,133
2020Q1,Jan to Mar 2020,Nairobi County,Embakasi North Sub County,Dandora Area Iv Ward,88,0,88
2020Q1,Jan to Mar 2020,Mandera County,Mandera West Sub County,Dandu Ward,72,0,72
2020Q1,Jan to Mar 2020,Garissa County,Balambala Sub County,Danyere Ward,5,0,5
2020Q1,Jan to Mar 2020,Nyeri County,Tetu Sub County,Dedan Kimathi Ward,16,0,16
2020Q1,Jan to Mar 2020,Garissa County,Fafi Sub County,Dekaharia Ward,0,0,0
2020Q1,Jan to Mar 2020,Wajir County,Eldas Sub County,Della Ward,20,1,19
2020Q1,Jan to Mar 2020,Mandera County,Banissa Sub County,Derkhale Ward,28,0,28
2020Q1,Jan to Mar 2020,Garissa County,Dadaab Sub County,Dertu Ward,5,0,5
2020Q1,Jan to Mar 2020,Wajir County,Wajir South Sub County,Diif Ward,11,0,11
2020Q1,Jan to Mar 2020,Marsabit County,North Horr Sub County,Dukana Ward,35,0,35
2020Q1,Jan to Mar 2020,Nakuru County,Nakuru North Sub County,Dundori Ward,84,0,84
2020Q1,Jan to Mar 2020,Kwale County,Lunga Lunga Sub County,Dzombo Ward,146,0,146
2020Q1,Jan to Mar 2020,Siaya County,Rarieda Sub County,East Asembo Ward,207,110,97
2020Q1,Jan to Mar 2020,Siaya County,Gem Sub County,East Gem Ward,44,2,42
2020Q1,Jan to Mar 2020,Homa Bay County,Rangwe Sub County,East Gem Ward,99,10,89
2020Q1,Jan to Mar 2020,Kakamega County,Malava Sub County,East Kabras Ward,38,0,38
2020Q1,Jan to Mar 2020,Homa Bay County,Rachuonyo South Sub County,East Kamagak Ward,20,1,19
2020Q1,Jan to Mar 2020,Migori County,Rongo Sub County,East Kamagambo Ward,50,5,45
2020Q1,Jan to Mar 2020,Kisumu County,Nyando Sub County,East Kano/Wawidhi Ward,15,1,14
2020Q1,Jan to Mar 2020,Migori County,Uriri Sub County,East Kanyamkago Ward,38,1,37
2020Q1,Jan to Mar 2020,Bungoma County,Kanduyi Sub County,East Sang'alo Ward,49,2,47
2020Q1,Jan to Mar 2020,Kisumu County,Seme Sub County,East Seme Ward,43,0,43
2020Q1,Jan to Mar 2020,Siaya County,Ugenya Sub County,East Ugenya Ward,67,2,65
2020Q1,Jan to Mar 2020,Kakamega County,Mumias East Sub County,East Wanga Ward,31,2,29
2020Q1,Jan to Mar 2020,Nairobi County,Kamukunji Sub County,Eastleigh North Ward,132,35,97
2020Q1,Jan to Mar 2020,Nairobi County,Kamukunji Sub County,Eastleigh South Ward,122,3,119
2020Q1,Jan to Mar 2020,Machakos County,Masinga Sub County,Ekalakala Ward,38,0,38
2020Q1,Jan to Mar 2020,Nyamira County,Nyamira North Sub County,Ekerenyo Ward,119,4,115
2020Q1,Jan to Mar 2020,Samburu County,Samburu North Sub County,El-barta Ward,76,0,76
2020Q1,Jan to Mar 2020,Wajir County,Tarbaj Sub County,Elben Ward,5,0,5
2020Q1,Jan to Mar 2020,Nakuru County,Molo Sub County,Elburgon Ward,81,2,79
2020Q1,Jan to Mar 2020,Wajir County,Eldas Sub County,Eldas Ward,17,10,7
2020Q1,Jan to Mar 2020,Nakuru County,Gilgil Sub County,Elementaita Ward,52,1,51
2020Q1,Jan to Mar 2020,Bungoma County,Mt Elgon Sub County,Elgon Ward,168,3,165
2020Q1,Jan to Mar 2020,Wajir County,Eldas Sub County,Elnur/Tula Tula Ward,14,0,14
2020Q1,Jan to Mar 2020,Busia County,Butula Sub County,Elugulu Ward,23,0,23
2020Q1,Jan to Mar 2020,Mandera County,Mandera South Sub County,Elwak North Ward,0,0,0
2020Q1,Jan to Mar 2020,Mandera County,Mandera South Sub County,Elwak South Ward,0,0,0
2020Q1,Jan to Mar 2020,Vihiga County,Luanda Sub County,Emabungo Ward,149,6,143
2020Q1,Jan to Mar 2020,Makueni County,Kibwezi West Sub County,Emali/Mulala Ward,65,4,61
2020Q1,Jan to Mar 2020,Nairobi County,Embakasi East Sub County,Embakasi Ward,68,14,54
2020Q1,Jan to Mar 2020,Elgeyo Marakwet County,Marakwet East Sub County,Embobut/Embulot Ward,54,0,54
2020Q1,Jan to Mar 2020,Bomet County,Konoin Sub County,Embomos Ward,63,1,62
2020Q1,Jan to Mar 2020,Baringo County,Mogotio Sub County,Emining Ward,41,0,41
2020Q1,Jan to Mar 2020,Elgeyo Marakwet County,Keiyo North Sub County,Emsoo Ward,44,23,21
2020Q1,Jan to Mar 2020,Kitui County,Kitui East Sub County,Endau/Malalani Ward,35,0,35
2020Q1,Jan to Mar 2020,Trans Nzoia County,Endebess Sub County,Endebess Ward,195,52,143
2020Q1,Jan to Mar 2020,Elgeyo Marakwet County,Marakwet East Sub County,Endo Ward,81,30,51
2020Q1,Jan to Mar 2020,West Pokot County,West Pokot Sub County,Endugh Ward,45,0,45
2020Q1,Jan to Mar 2020,Nyandarua County,Kinangop Sub County,Engineer Ward,16,0,16
2020Q1,Jan to Mar 2020,Kajiado County,Loitokitok Sub County,Entonet/Lenkism Ward,91,3,88
2020Q1,Jan to Mar 2020,Nyamira County,Borabu Sub County,Esise Ward,32,2,30
2020Q1,Jan to Mar 2020,Kakamega County,Mumias West Sub County,Etenje Ward,110,19,91
2020Q1,Jan to Mar 2020,Embu County,Mbeere North Sub County,Evurore Ward,46,0,46
2020Q1,Jan to Mar 2020,Baringo County,Baringo Central Sub County,Ewalel/Chapchap Ward,18,0,18
2020Q1,Jan to Mar 2020,Kajiado County,Kajiado West Sub County,Ewuaso Oo Nkidong'i Ward,134,4,130
2020Q1,Jan to Mar 2020,Garissa County,Fafi Sub County,Fafi Ward,0,0,0
2020Q1,Jan to Mar 2020,Lamu County,Lamu East Sub County,Faza Ward,18,0,18
2020Q1,Jan to Mar 2020,Mandera County,Lafey Sub County,Fino Ward,19,0,19
2020Q1,Jan to Mar 2020,Nakuru County,Nakuru East Sub County,Flamingo Ward,19,0,19
2020Q1,Jan to Mar 2020,Mombasa County,Nyali Sub County,Frere Town Ward,10,0,10
2020Q1,Jan to Mar 2020,Nyamira County,Masaba North Sub County,Gachuba Ward,56,1,55
2020Q1,Jan to Mar 2020,Muranga County,Kandara Sub County,Gaichanjiru Ward,48,0,48
2020Q1,Jan to Mar 2020,Nyeri County,Kieni East Sub County,Gakawa Ward,21,1,20
2020Q1,Jan to Mar 2020,Garissa County,Garissa Sub County,Galbet Ward,98,0,98
2020Q1,Jan to Mar 2020,Kwale County,Msambweni Sub County,Gambato Bongwe Ward,106,0,106
2020Q1,Jan to Mar 2020,Kilifi County,Malindi Sub County,Ganda Ward,73,0,73
2020Q1,Jan to Mar 2020,Tharaka Nithi County,Mwimbi Sub County,Ganga Ward,28,0,28
2020Q1,Jan to Mar 2020,Wajir County,Wajir West Sub County,Ganyure/Wagalla Ward,24,2,22
2020Q1,Jan to Mar 2020,Kilifi County,Ganze Sub County,Ganze Ward,94,4,90
2020Q1,Jan to Mar 2020,Kilifi County,Magarini Sub County,Garashi Ward,27,0,27
2020Q1,Jan to Mar 2020,Isiolo County,Garbatulla Sub County,Garba Tulla Ward,40,0,40
2020Q1,Jan to Mar 2020,Tana River County,Garsen Sub County,Garsen Central Ward,27,1,26
2020Q1,Jan to Mar 2020,Tana River County,Garsen Sub County,Garsen North Ward,72,1,71
