period,name,county,subcounty,ward,Teen pregnancy (10 to 19 years),Teen pregnancy (10 to 14 years),Teen pregnancy (15 to 19 years)
2016Q4,Oct to Dec 2016,Homa Bay County,Rangwe Sub County,Kochia Ward,72,4,68
2016Q4,Oct to Dec 2016,West Pokot County,Pokot North Sub County,Kodich Ward,8,1,7
2016Q4,Oct to Dec 2016,Baringo County,Koibatek Sub County,Koibatek Ward,27,4,23
2016Q4,Oct to Dec 2016,Homa Bay County,Kabondo Kasipul Sub County,Kojwach Ward,23,1,22
2016Q4,Oct to Dec 2016,Homa Bay County,Kabondo Kasipul Sub County,Kokwanyo/Kakelo Ward,163,11,152
2016Q4,Oct to Dec 2016,Machakos County,Kalama Sub County,Kola Ward,31,0,31
2016Q4,Oct to Dec 2016,Baringo County,East Pokot Sub County,Kolowa Ward,46,0,46
2016Q4,Oct to Dec 2016,Kisumu County,Kisumu East Sub County,Kolwa Central Ward,46,0,46
2016Q4,Oct to Dec 2016,Kisumu County,Kisumu East Sub County,Kolwa East Ward,59,0,59
2016Q4,Oct to Dec 2016,Nairobi County,Embakasi Central Sub County,Komarock Ward,147,70,77
2016Q4,Oct to Dec 2016,Kiambu County,Githunguri Sub County,Komothai Ward,53,0,53
2016Q4,Oct to Dec 2016,Kisumu County,Kisumu Central Sub County,Kondele Ward,217,5,212
2016Q4,Oct to Dec 2016,Bomet County,Chepalungu Sub County,Kong'asis Ward,101,0,101
2016Q4,Oct to Dec 2016,Kakamega County,Likuyani Sub County,Kongoni Ward,32,0,32
2016Q4,Oct to Dec 2016,Mombasa County,Nyali Sub County,Kongowea Ward,30,0,30
2016Q4,Oct to Dec 2016,Nyeri County,Mathira East Sub County,Konyu Ward,7,0,7
2016Q4,Oct to Dec 2016,Nairobi County,Ruaraka Sub County,Korogocho Ward,126,0,126
2016Q4,Oct to Dec 2016,Wajir County,Wajir North Sub County,Korondile Ward,2,0,2
2016Q4,Oct to Dec 2016,Marsabit County,Laisamis Sub County,Korr/Ngurunit Ward,2,0,2
2016Q4,Oct to Dec 2016,Nandi County,Chesumei Sub County,Kosirai Ward,14,6,8
2016Q4,Oct to Dec 2016,Turkana County,Loima Sub County,Kotaruk/Lobei Ward,70,0,70
2016Q4,Oct to Dec 2016,Nandi County,Aldai Sub County,Koyo/Ndurio Ward,18,0,18
2016Q4,Oct to Dec 2016,Kakamega County,Matungu Sub County,Koyonzo Ward,72,1,71
2016Q4,Oct to Dec 2016,Kwale County,Matuga Sub County,Kubo South Ward,73,1,72
2016Q4,Oct to Dec 2016,Uasin Gishu County,Soy Sub County,Kuinet/Kapsuswa Ward,39,0,39
2016Q4,Oct to Dec 2016,Kajiado County,Loitokitok Sub County,Kuku Ward,120,12,108
2016Q4,Oct to Dec 2016,Kericho County,Kipkelion West Sub County,Kunyak Ward,15,0,15
2016Q4,Oct to Dec 2016,Nandi County,Mosop Sub County,Kurgung/Surungai Ward,0,0,0
2016Q4,Oct to Dec 2016,Mandera County,Kutulo Sub County,Kutulo Ward,0,0,0
2016Q4,Oct to Dec 2016,Nairobi County,Embakasi South Sub County,Kwa Njenga Ward,115,46,69
2016Q4,Oct to Dec 2016,Nairobi County,Embakasi South Sub County,Kwa Reuben Ward,57,0,57
2016Q4,Oct to Dec 2016,Migori County,Suna East Sub County,Kwa Ward,35,3,32
2016Q4,Oct to Dec 2016,Homa Bay County,Ndhiwa Sub County,Kwabwai Ward,113,18,95
2016Q4,Oct to Dec 2016,Kitui County,Kitui West Sub County,Kwamutonga/Kithumula Ward,7,0,7
2016Q4,Oct to Dec 2016,Trans Nzoia County,Kwanza Sub County,Kwanza Ward,146,2,144
2016Q4,Oct to Dec 2016,Nairobi County,Embakasi South Sub County,Kware Ward,58,1,57
2016Q4,Oct to Dec 2016,Kitui County,Kitui Rural Sub County,Kwavonza/Yatta Ward,45,0,45
2016Q4,Oct to Dec 2016,Kitui County,Kitui Central Sub County,Kyangwithya East Ward,34,0,34
2016Q4,Oct to Dec 2016,Kitui County,Kitui Central Sub County,Kyangwithya West Ward,27,1,26
2016Q4,Oct to Dec 2016,Machakos County,Matungulu Sub County,Kyeleni Ward,3,0,3
2016Q4,Oct to Dec 2016,Embu County,Runyenjes Sub County,Kyeni North Ward,27,0,27
2016Q4,Oct to Dec 2016,Embu County,Runyenjes Sub County,Kyeni South Ward,75,1,74
2016Q4,Oct to Dec 2016,Kitui County,Mwingi West Sub County,Kyome/Thaana Ward,27,0,27
2016Q4,Oct to Dec 2016,Kitui County,Mwingi North Sub County,Kyuso Ward,94,3,91
2016Q4,Oct to Dec 2016,Garissa County,Dadaab Sub County,Labisgale Ward,0,0,0
2016Q4,Oct to Dec 2016,Mandera County,Lafey Sub County,Lafey Ward,49,10,39
2016Q4,Oct to Dec 2016,Wajir County,Wajir South Sub County,Lagboghoi South Ward,10,0,10
2016Q4,Oct to Dec 2016,Mandera County,Mandera West Sub County,Lagsure Ward,0,0,0
2016Q4,Oct to Dec 2016,Nairobi County,Kibra Sub County,Laini Saba Ward,42,20,22
2016Q4,Oct to Dec 2016,Marsabit County,Laisamis Sub County,Laisamis Ward,1,0,1
2016Q4,Oct to Dec 2016,Nakuru County,Naivasha Sub County,Lake View Ward,0,0,0
2016Q4,Oct to Dec 2016,Turkana County,Turkana North Sub County,Lakezone Ward,34,0,34
2016Q4,Oct to Dec 2016,Wajir County,Eldas Sub County,Lakoley South/Basir Ward,0,0,0
2016Q4,Oct to Dec 2016,Homa Bay County,Mbita Sub County,Lambwe Ward,116,12,104
2016Q4,Oct to Dec 2016,Nairobi County,Starehe Sub County,Landimawe Ward,41,6,35
2016Q4,Oct to Dec 2016,Nakuru County,Nakuru North Sub County,Lanet/Umoja Ward,4,1,3
2016Q4,Oct to Dec 2016,Uasin Gishu County,Kapseret Sub County,Langas Ward,105,19,86
2016Q4,Oct to Dec 2016,Turkana County,Turkana North Sub County,Lapur Ward,16,0,16
2016Q4,Oct to Dec 2016,Nakuru County,Njoro Sub County,Lare Ward,32,0,32
2016Q4,Oct to Dec 2016,Kiambu County,Lari Sub County,Lari/Kirenga Ward,77,0,77
2016Q4,Oct to Dec 2016,Elgeyo Marakwet County,Marakwet West Sub County,Lelan Ward,35,5,30
2016Q4,Oct to Dec 2016,West Pokot County,Pokot South Sub County,Lelan Ward,80,0,80
2016Q4,Oct to Dec 2016,Nandi County,Chesumei Sub County,Lelmoko/Ngechek Ward,44,5,39
2016Q4,Oct to Dec 2016,Baringo County,Koibatek Sub County,Lembus Kwen Ward,11,0,11
2016Q4,Oct to Dec 2016,Baringo County,Koibatek Sub County,Lembus Ward,62,0,62
2016Q4,Oct to Dec 2016,Baringo County,Koibatek Sub County,Lembus/Perkerra Ward,16,0,16
2016Q4,Oct to Dec 2016,Nyandarua County,Ndaragwa Sub County,Leshau/Pondo Ward,12,0,12
2016Q4,Oct to Dec 2016,Turkana County,Turkana West Sub County,Letea Ward,17,0,17
2016Q4,Oct to Dec 2016,Mandera County,Lafey Sub County,Libehia Ward,25,0,25
2016Q4,Oct to Dec 2016,Garissa County,Dadaab Sub County,Liboi Ward,33,2,31
2016Q4,Oct to Dec 2016,Mombasa County,Likoni Sub County,Likoni Ward,6,0,6
2016Q4,Oct to Dec 2016,Kakamega County,Likuyani Sub County,Likuyani Ward,0,0,0
2016Q4,Oct to Dec 2016,Kiambu County,Limuru Sub County,Limuru Central Ward,126,1,125
2016Q4,Oct to Dec 2016,Kiambu County,Limuru Sub County,Limuru East Ward,8,0,8
2016Q4,Oct to Dec 2016,Nairobi County,Kibra Sub County,Lindi Ward,9,3,6
2016Q4,Oct to Dec 2016,Kericho County,Bureti Sub County,Litein Ward,63,1,62
2016Q4,Oct to Dec 2016,Turkana County,Turkana South Sub County,Lobokat Ward,16,0,16
2016Q4,Oct to Dec 2016,Samburu County,Samburu Central Sub County,Lodokejek Ward,136,6,130
2016Q4,Oct to Dec 2016,Turkana County,Turkana Central Sub County,Lodwar Township Ward,407,16,391
2016Q4,Oct to Dec 2016,Marsabit County,Laisamis Sub County,Loglogo Ward,1,0,1
2016Q4,Oct to Dec 2016,Turkana County,Loima Sub County,Loima Ward,19,0,19
2016Q4,Oct to Dec 2016,Narok County,Narok South Sub County,Loita Ward,92,8,84
2016Q4,Oct to Dec 2016,Baringo County,Tiaty East Sub County,Loiyamorok Ward,31,9,22
2016Q4,Oct to Dec 2016,Marsabit County,Laisamis Sub County,Loiyangalani Ward,15,14,1
2016Q4,Oct to Dec 2016,Turkana County,Turkana South Sub County,Lokichar Ward,220,170,50
2016Q4,Oct to Dec 2016,Turkana County,Turkana West Sub County,Lokichoggio Ward,5,2,3
2016Q4,Oct to Dec 2016,Turkana County,Loima Sub County,Lokiriama/Lorengippi Ward,8,0,8
2016Q4,Oct to Dec 2016,Turkana County,Turkana East Sub County,Lokori/Kochodin Ward,69,9,60
2016Q4,Oct to Dec 2016,Narok County,Transmara West Sub County,Lolgorian Ward,37,0,37
2016Q4,Oct to Dec 2016,West Pokot County,Pokot Central Sub County,Lomut Ward,38,7,31
2016Q4,Oct to Dec 2016,Kericho County,Kipkelion East Sub County,Londiani Ward,13,3,10
2016Q4,Oct to Dec 2016,Nakuru County,Nakuru West Sub County,London Ward,206,2,204
2016Q4,Oct to Dec 2016,Bomet County,Bomet East Sub County,Longisa Ward,272,91,181
2016Q4,Oct to Dec 2016,Samburu County,Samburu Central Sub County,Loosuk Ward,62,0,62
2016Q4,Oct to Dec 2016,Turkana County,Turkana West Sub County,Lopur Ward,0,0,0
2016Q4,Oct to Dec 2016,Machakos County,Kathiani Sub County,Lower Kaewa/Kaani Ward,34,0,34
2016Q4,Oct to Dec 2016,Nairobi County,Embakasi East Sub County,Lower Savannah Ward,55,24,31
2016Q4,Oct to Dec 2016,Vihiga County,Luanda Sub County,Luanda South Ward,68,17,51
2016Q4,Oct to Dec 2016,Vihiga County,Luanda Sub County,Luanda Township Ward,77,0,77
2016Q4,Oct to Dec 2016,Vihiga County,Vihiga Sub County,Lugaga-wamuluma Ward,52,2,50
